title,alternate_title,year,publisher,volume_part,source_seizure,page_count,language,script,scan_source,ocr_source,translation_status,notes_on_uncertainty
Einige Originalschriften des Illuminatenordens,,1787,"gedruckt bey Anton Franz, Churfl. Hofbuchdrucker (München)",main volume,Zwack seizure,430,German,Fraktur,https://archive.org/details/einigeoriginalsc01duke_0,Internet Archive (deu+Fraktur djvu.txt),acquired,Raw OCR only; not yet transcribed or translated
Nachtrag von weiteren Originalschriften,,1787,,supplement,Bassus castle search / later seizures,438,German,Fraktur,https://archive.org/details/nachtragvonweite121duke_0,Internet Archive (deu+Fraktur djvu.txt),acquired,Raw OCR only; not yet transcribed or translated
Anhang zu den Original-Schriften des Illuminaten-Ordens,,1787,"Frankfurt und Leipzig",appendix,,40,German,Fraktur,https://www.digitale-sammlungen.de/de/view/bsb10381760,Bayerische Staatsbibliothek / MDZ (hOCR per page),acquired,"Raw OCR only; not yet transcribed or translated. PDF and OCR text assembled from per-page IIIF/hOCR (see ocr_raw/anhang_1787/anhang_1787_provenance.md)"
